251, 9.00, 81, 1, 1,  30.00, 60.00, 0.320, 6, 16.0, 99000, 2000,  0.753, 0.509, 0.003, 0.513, 0.498
251, 9.00, 81, 1, 1,  30.00, 60.00, 0.800, 6, 16.0, 99000, 2000,  0.573, 0.276, 0.006, 0.283, 0.261
251, 9.00, 81, 1, 1,  30.00, 60.00, 0.500, 6, 16.0, 99000, 2000,  0.665, 0.376, 0.005, 0.382, 0.361
251, 9.00, 81, 1, 1,  30.00, 60.00, 0.600, 6, 16.0, 99000, 2000,  0.629, 0.328, 0.005, 0.336, 0.314
251, 9.00, 81, 1, 1,  30.00, 60.00, 1.000, 6, 16.0, 99000, 2000,  0.529, 0.246, 0.007, 0.255, 0.231
251, 9.00, 81, 1, 1,  30.00, 60.00, 0.400, 6, 16.0, 99000, 2000,  0.707, 0.442, 0.004, 0.448, 0.430
251, 9.00, 81, 1, 1,  30.00, 60.00, 0.700, 6, 16.0, 99000, 2000,  0.599, 0.297, 0.006, 0.305, 0.282
251, 9.00, 81, 1, 1,  30.00, 60.00, 0.900, 6, 16.0, 99000, 2000,  0.550, 0.259, 0.006, 0.268, 0.245
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.400, 6, 2.0, 99000, 2000,  0.707, 0.357, 0.001, 0.358, 0.354 
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.320, 6, 2.0, 99000, 2000,  0.753, 0.439, 0.001, 0.440, 0.437 
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.500, 6, 2.0, 99000, 2000,  0.665, 0.281, 0.001, 0.283, 0.277 
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.600, 6, 2.0, 99000, 2000,  0.629, 0.237, 0.002, 0.239, 0.233 
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.700, 6, 2.0, 99000, 2000,  0.599, 0.211, 0.002, 0.214, 0.207 
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.800, 6, 2.0, 99000, 2000,  0.573, 0.194, 0.002, 0.197, 0.189 
251, 1.12, 81, 1, 1,  30.00, 60.00, 0.900, 6, 2.0, 99000, 2000,  0.550, 0.179, 0.002, 0.183, 0.175 
251, 1.12, 81, 1, 1,  30.00, 60.00, 1.000, 6, 2.0, 99000, 2000,  0.529, 0.166, 0.002, 0.169, 0.161 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.320, 6, 4.0, 99000, 2000,  0.753, 0.471, 0.002, 0.474, 0.466 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.400, 6, 4.0, 99000, 2000,  0.707, 0.396, 0.003, 0.400, 0.391 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.500, 6, 4.0, 99000, 2000,  0.665, 0.324, 0.003, 0.328, 0.318 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.600, 6, 4.0, 99000, 2000,  0.629, 0.277, 0.003, 0.282, 0.271 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.700, 6, 4.0, 99000, 2000,  0.599, 0.249, 0.003, 0.253, 0.242 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.800, 6, 4.0, 99000, 2000,  0.573, 0.230, 0.003, 0.235, 0.223 
251, 2.25, 81, 1, 1,  30.00, 60.00, 0.900, 6, 4.0, 99000, 2000,  0.550, 0.216, 0.004, 0.221, 0.209 
251, 2.25, 81, 1, 1,  30.00, 60.00, 1.000, 6, 4.0, 99000, 2000,  0.529, 0.203, 0.004, 0.209, 0.195 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.400, 6, 8.0, 99000, 2000,  0.707, 0.422, 0.004, 0.429, 0.411 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.320, 6, 8.0, 99000, 2000,  0.753, 0.492, 0.003, 0.497, 0.483 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.500, 6, 8.0, 99000, 2000,  0.665, 0.353, 0.005, 0.360, 0.340 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.700, 6, 8.0, 99000, 2000,  0.599, 0.275, 0.005, 0.283, 0.261 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.800, 6, 8.0, 99000, 2000,  0.573, 0.254, 0.005, 0.263, 0.241 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.600, 6, 8.0, 99000, 2000,  0.629, 0.305, 0.005, 0.314, 0.292 
251, 4.50, 81, 1, 1,  30.00, 60.00, 1.000, 6, 8.0, 99000, 2000,  0.529, 0.225, 0.006, 0.235, 0.211 
251, 4.50, 81, 1, 1,  30.00, 60.00, 0.900, 6, 8.0, 99000, 2000,  0.550, 0.239, 0.006, 0.248, 0.225 
